type_energie,annee_construction,month,surface_m2,temperature_c,humidite_pct,rayonnement_solaire_wm2,vitesse_vent_kmh,precipitation_mm,eau,electricite,gaz
annee_construction,1.0,-3.1433029324878784e-05,-0.012618025201057795,0.04240073875291923,-0.0002203036713474469,4.9518331221003555e-05,-8.305186274196483e-05,0.0002630434797128238,-0.10278884186070944,-0.14628541555767657,-0.14561516639440963
month,-3.1433029324878784e-05,1.0,-0.0002570063588919211,0.07521943105505417,-0.005071437328599906,-0.0006683720021080788,0.0009258839487349806,0.0008721335926455377,-0.0003894096023627298,-0.00511149779356556,-0.005401119367865827
surface_m2,-0.012618025201057795,-0.0002570063588919211,1.0,0.02991349174257828,9.19465293571163e-05,-0.000373635368378462,-0.00011118247977090641,-0.0009087366871563621,0.633166699251415,0.5957063423418423,0.5970209038190729
temperature_c,0.04240073875291923,0.07521943105505417,0.02991349174257828,1.0,0.0003597595308719567,0.0036162220710820757,-0.0005126358173475986,0.003434267025561553,0.007637551216571176,-0.12800102638261052,-0.12815774875830388
humidite_pct,-0.0002203036713474469,-0.005071437328599906,9.19465293571163e-05,0.0003597595308719567,1.0,-0.0010871632370093192,-0.00032597730389276477,-0.001620275755790267,0.0010689135491054832,0.0015086001830954855,0.0017039562603389023
rayonnement_solaire_wm2,4.9518331221003555e-05,-0.0006683720021080788,-0.000373635368378462,0.0036162220710820757,-0.0010871632370093192,1.0,0.0008320905358987025,-0.001374017315132961,0.157900999839268,0.21231348840631323,0.21172078530388866
vitesse_vent_kmh,-8.305186274196483e-05,0.0009258839487349806,-0.00011118247977090641,-0.0005126358173475986,-0.00032597730389276477,0.0008320905358987025,1.0,0.0013625337579625217,-0.0008737272431561835,-0.0007519508731392029,-0.0007951256247263701
precipitation_mm,0.0002630434797128238,0.0008721335926455377,-0.0009087366871563621,0.003434267025561553,-0.001620275755790267,-0.001374017315132961,0.0013625337579625217,1.0,0.00017094551658128717,0.00026801931164823644,0.00030659277402337985
eau,-0.10278884186070944,-0.0003894096023627298,0.633166699251415,0.007637551216571176,0.0010689135491054832,0.157900999839268,-0.0008737272431561835,0.00017094551658128717,1.0,0.833392715984628,0.8335324501411159
electricite,-0.14628541555767657,-0.00511149779356556,0.5957063423418423,-0.12800102638261052,0.0015086001830954855,0.21231348840631323,-0.0007519508731392029,0.00026801931164823644,0.833392715984628,1.0,0.9049812933212792
gaz,-0.14561516639440963,-0.005401119367865827,0.5970209038190729,-0.12815774875830388,0.0017039562603389023,0.21172078530388866,-0.0007951256247263701,0.00030659277402337985,0.8335324501411159,0.9049812933212792,1.0
