commune,timestamp,temperature_c,humidite_pct,rayonnement_solaire_wm2,vitesse_vent_kmh,precipitation_mm,date,day,day_of_week,month,season,hour
Bordeaux,2023-01-01 00:00:00,8.5,43.9,0.8,0.2,0.0,2023-01-01,1,6,1,Hiver,0
Bordeaux,2023-01-01 01:00:00,2.7,39.7,6.1,21.5,5.3,2023-01-01,1,6,1,Hiver,1
Bordeaux,2023-01-01 02:00:00,6.2,78.9,49.5,13.1,0.0,2023-01-01,1,6,1,Hiver,2
Bordeaux,2023-01-01 03:00:00,10.3,64.2,24.3,0.6,14.7,2023-01-01,1,6,1,Hiver,3
Bordeaux,2023-01-01 04:00:00,0.9,36.4,20.7,35.6,0.0,2023-01-01,1,6,1,Hiver,4
Bordeaux,2023-01-01 05:00:00,7.9,66.0,5.9,0.3,0.0,2023-01-01,1,6,1,Hiver,5
Bordeaux,2023-01-01 06:00:00,1.6,40.2,392.3,24.3,0.0,2023-01-01,1,6,1,Hiver,6
Bordeaux,2023-01-01 07:00:00,4.9,87.9,781.5,27.9,0.0,2023-01-01,1,6,1,Hiver,7
Bordeaux,2023-01-01 08:00:00,8.4,43.4,565.0,38.8,0.1,2023-01-01,1,6,1,Hiver,8
Bordeaux,2023-01-01 09:00:00,10.1,83.8,52.3,25.4,0.0,2023-01-01,1,6,1,Hiver,9
Bordeaux,2023-01-01 10:00:00,-1.6,58.3,237.9,2.5,0.0,2023-01-01,1,6,1,Hiver,10
Bordeaux,2023-01-01 11:00:00,0.8,41.2,298.6,4.7,0.0,2023-01-01,1,6,1,Hiver,11
Bordeaux,2023-01-01 12:00:00,11.7,80.4,601.7,11.8,10.7,2023-01-01,1,6,1,Hiver,12
Bordeaux,2023-01-01 13:00:00,8.2,100.0,575.7,6.6,1.2,2023-01-01,1,6,1,Hiver,13
Bordeaux,2023-01-01 14:00:00,6.9,61.8,691.1,36.8,0.0,2023-01-01,1,6,1,Hiver,14
Bordeaux,2023-01-01 15:00:00,8.3,70.1,129.1,9.9,0.0,2023-01-01,1,6,1,Hiver,15
Bordeaux,2023-01-01 17:00:00,1.2,64.6,125.1,35.4,6.4,2023-01-01,1,6,1,Hiver,17
