batiment_id,classe_energetique,type_energie,conso_reelle_m2,seuil_dpe,seuil_depasse
BAT0001,E,electricite,1252.019034267912,290,True
BAT0001,E,gaz,1867.4719730010377,290,True
BAT0002,C,electricite,865.6833304498263,145,True
BAT0002,C,gaz,1300.1520328719716,145,True
BAT0003,D,electricite,960.9399999999993,215,True
BAT0003,D,gaz,1441.910253687315,215,True
BAT0004,C,electricite,984.8820396912892,145,True
BAT0004,C,gaz,1401.6343329658207,145,True
BAT0005,G,electricite,6237.001988244313,500,True
BAT0005,G,gaz,9354.259077434193,500,True
BAT0006,E,electricite,940.2105665236044,290,True
BAT0006,E,gaz,1404.3919570815442,290,True
BAT0007,C,electricite,1406.9167741935476,145,True
BAT0007,C,gaz,2107.947278742762,145,True
BAT0008,G,electricite,3119.570017889087,500,True
BAT0008,G,gaz,4677.888349731663,500,True
BAT0009,B,electricite,673.1763361702119,90,True
BAT0009,B,gaz,1008.9205999999992,90,True
BAT0010,G,electricite,2186.0167499999993,500,True
BAT0010,G,gaz,3124.4817096774186,500,True
BAT0011,G,electricite,1927.6177841892666,500,True
BAT0011,G,gaz,2886.829659549913,500,True
BAT0012,F,electricite,1227.5740316205527,375,True
BAT0012,F,gaz,1846.2549407114618,375,True
BAT0013,D,electricite,1560.536301575393,215,True
BAT0013,D,gaz,2334.4118604651158,215,True
BAT0014,G,electricite,3118.599528108329,500,True
BAT0014,G,gaz,4695.7102051702905,500,True
BAT0015,F,electricite,1225.3029863603726,375,True
BAT0015,F,gaz,1843.8894544149312,375,True
BAT0016,G,electricite,3113.3008311688304,500,True
BAT0016,G,gaz,4694.931645021645,500,True
BAT0017,E,electricite,1248.824349827387,290,True
BAT0017,E,gaz,1880.5257767548899,290,True
BAT0018,D,electricite,963.39626201923,215,True
BAT0018,D,gaz,1452.0421093749992,215,True
BAT0019,F,electricite,5297.879983974359,375,True
BAT0019,F,gaz,7932.731673076923,375,True
BAT0020,G,electricite,1440.2523671497577,500,True
BAT0020,G,gaz,2165.160766045548,500,True
BAT0021,G,electricite,2183.952019741837,500,True
BAT0021,G,gaz,3129.704867122247,500,True
BAT0022,G,electricite,1446.2388160833946,500,True
BAT0022,G,gaz,2164.5829932985844,500,True
BAT0023,G,electricite,1928.9911290322573,500,True
BAT0023,G,gaz,2877.985539971949,500,True
BAT0024,D,electricite,3115.7585667174017,215,True
BAT0024,D,gaz,4685.774578893962,215,True
BAT0025,D,electricite,3113.9082465230426,215,True
BAT0025,D,gaz,4695.994755931279,215,True
BAT0026,D,electricite,961.8016548463349,215,True
BAT0026,D,gaz,1441.5734436564217,215,True
BAT0027,D,electricite,1555.6347149837127,215,True
BAT0027,D,gaz,2332.1707573289896,215,True
BAT0028,F,electricite,1632.5089456869002,375,True
BAT0028,F,gaz,2457.8795367412135,375,True
BAT0029,D,electricite,959.6544906033622,215,True
BAT0029,D,gaz,1444.4126458951525,215,True
BAT0030,D,electricite,721.2025821596236,215,True
BAT0030,D,gaz,1078.4790516431917,215,True
BAT0031,E,electricite,1421.2194211576839,290,True
BAT0031,E,gaz,2025.4903393213565,290,True
BAT0032,F,electricite,2646.7756783302634,375,True
BAT0032,F,gaz,3976.3245794966233,375,True
BAT0033,D,electricite,1094.9683812405437,215,True
BAT0033,D,gaz,1561.3396822995453,215,True
BAT0034,D,electricite,1096.424544253632,215,True
BAT0034,D,gaz,1560.5329590488764,215,True
BAT0035,F,electricite,1229.5863776722083,375,True
BAT0035,F,gaz,1845.1244893111632,375,True
BAT0036,G,electricite,2182.4487612838507,500,True
BAT0036,G,gaz,3116.85779338014,500,True
BAT0037,C,electricite,2812.6794717728617,145,True
BAT0037,C,gaz,4225.916464179597,145,True
BAT0038,C,electricite,648.5449736842097,145,True
BAT0038,C,gaz,971.0521973684203,145,True
BAT0039,E,electricite,1417.1879505664256,290,True
BAT0039,E,gaz,2028.3793614830065,290,True
BAT0040,C,electricite,650.2344063926932,145,True
BAT0040,C,gaz,976.5289497716888,145,True
BAT0041,F,electricite,1224.466471264367,375,True
BAT0041,F,gaz,1842.144747126436,375,True
BAT0042,G,electricite,2181.869791666666,500,True
BAT0042,G,gaz,3113.6810773809516,500,True
BAT0043,G,electricite,6233.789517332163,500,True
BAT0043,G,gaz,9352.284791575252,500,True
BAT0044,F,electricite,2648.7264381360465,375,True
BAT0044,F,gaz,3975.532501339046,375,True
BAT0045,E,electricite,1255.2510640066494,290,True
BAT0045,E,gaz,1876.4791936824597,290,True
BAT0046,F,electricite,1623.5863476347627,375,True
BAT0046,F,gaz,2456.0073322332228,375,True
BAT0047,F,electricite,1229.7848195876281,375,True
BAT0047,F,gaz,1838.9113917525765,375,True
BAT0048,G,electricite,6213.43043153969,500,True
BAT0048,G,gaz,9332.64441662227,500,True
BAT0049,E,electricite,1415.6838301886785,290,True
BAT0049,E,gaz,2027.9686603773578,290,True
BAT0050,F,electricite,5327.206580236243,375,True
BAT0050,F,gaz,7948.492371074618,375,True
BAT0051,D,electricite,724.0602602230475,215,True
BAT0051,D,gaz,1085.589990706319,215,True
BAT0052,B,electricite,2178.3368703148417,90,True
BAT0052,B,gaz,3289.676086956521,90,True
BAT0053,F,electricite,2662.1292664359853,375,True
BAT0053,F,gaz,3987.4200899653974,375,True
BAT0054,C,electricite,982.5740865384607,145,True
BAT0054,C,gaz,1404.7509775641017,145,True
BAT0055,B,electricite,762.4457384823841,90,True
BAT0055,B,gaz,1094.89725609756,90,True
BAT0056,G,electricite,1923.0122357463158,500,True
BAT0056,G,gaz,2884.166431774503,500,True
BAT0057,F,electricite,1226.8479218472462,375,True
BAT0057,F,gaz,1844.3226376554167,375,True
BAT0058,C,electricite,866.6111189427305,145,True
BAT0058,C,gaz,1299.3027312775323,145,True
BAT0059,D,electricite,1557.5757193229895,215,True
BAT0059,D,gaz,2338.7399576868825,215,True
BAT0060,D,electricite,3129.6365422396852,215,True
BAT0060,D,gaz,4680.253565815324,215,True
BAT0061,E,electricite,1251.6533174224337,290,True
BAT0061,E,gaz,1879.5946420047726,290,True
BAT0062,G,electricite,1441.5438023952088,500,True
BAT0062,G,gaz,2166.424767964071,500,True
BAT0063,E,electricite,1248.6132222222216,290,True
BAT0063,E,gaz,1875.2970388888882,290,True
BAT0064,A,electricite,545.2735309278343,50,True
BAT0064,A,gaz,778.5318453608239,50,True
BAT0065,G,electricite,2183.8143755615447,500,True
BAT0065,G,gaz,3119.6559568733146,500,True
BAT0066,G,electricite,1442.7754815695594,500,True
BAT0066,G,gaz,2161.8739239001184,500,True
BAT0067,G,electricite,1440.530501750291,500,True
BAT0067,G,gaz,2164.3918319719946,500,True
BAT0068,G,electricite,3128.420427518427,500,True
BAT0068,G,gaz,4687.709341523341,500,True
BAT0069,F,electricite,1638.515212224108,375,True
BAT0069,F,gaz,2447.2638794567056,375,True
BAT0070,G,electricite,1918.4828992628986,500,True
BAT0070,G,gaz,2891.804815724815,500,True
BAT0071,E,electricite,2024.7543834586459,290,True
BAT0071,E,gaz,3029.4006466165406,290,True
BAT0072,E,electricite,4050.657287332104,290,True
BAT0072,E,gaz,6089.847300500394,290,True
BAT0073,E,electricite,937.8217007762871,290,True
BAT0073,E,gaz,1409.0338884968235,290,True
BAT0074,F,electricite,1226.743644067796,375,True
BAT0074,F,gaz,1844.9794999999992,375,True
BAT0075,G,electricite,1923.2857924944806,500,True
BAT0075,G,gaz,2895.4114790286967,500,True
BAT0076,F,electricite,2648.4687791239508,375,True
BAT0076,F,gaz,3982.288345759552,375,True
BAT0077,C,electricite,649.3368354430372,145,True
BAT0077,C,gaz,974.6249683544296,145,True
BAT0078,F,electricite,2648.52148128052,375,True
BAT0078,F,gaz,3992.5427075420503,375,True
BAT0079,B,electricite,673.8878698224844,90,True
BAT0079,B,gaz,1007.3137743026197,90,True
BAT0080,F,electricite,5320.696865620736,375,True
BAT0080,F,gaz,7955.969672578444,375,True
BAT0081,G,electricite,1445.653906810035,500,True
BAT0081,G,gaz,2156.0609767025085,500,True
BAT0082,C,electricite,1396.9000581733558,145,True
BAT0082,C,gaz,2099.3585922047696,145,True
BAT0083,E,electricite,1419.6624533106954,290,True
BAT0083,E,gaz,2030.8706791171471,290,True
BAT0084,E,electricite,2034.7257509157503,290,True
BAT0084,E,gaz,3036.507406593406,290,True
BAT0085,E,electricite,1421.1808279337645,290,True
BAT0085,E,gaz,2021.0553275737934,290,True
BAT0086,F,electricite,1639.403235170382,375,True
BAT0086,F,gaz,2461.26774084981,375,True
BAT0087,D,electricite,3120.2577755644083,215,True
BAT0087,D,gaz,4676.304508632137,215,True
BAT0088,G,electricite,1443.1636650717696,500,True
BAT0088,G,gaz,2173.235636363636,500,True
BAT0089,G,electricite,3111.6870210896304,500,True
BAT0089,G,gaz,4680.608216168716,500,True
BAT0090,D,electricite,1560.1606182531887,215,True
BAT0090,D,gaz,2339.561437684003,215,True
BAT0091,F,electricite,2649.5248524590156,375,True
BAT0091,F,gaz,3976.241559718969,375,True
BAT0092,F,electricite,5314.533806509945,375,True
BAT0092,F,gaz,7961.24880198915,375,True
BAT0093,F,electricite,1634.6428228962811,375,True
BAT0093,F,gaz,2455.6775489236784,375,True
BAT0094,E,electricite,1422.271280137772,290,True
BAT0094,E,gaz,2026.4798851894368,290,True
BAT0095,D,electricite,3128.3060799999994,215,True
BAT0095,D,gaz,4693.233734736841,215,True
BAT0096,D,electricite,725.6271881606757,215,True
BAT0096,D,gaz,1081.6355391120499,215,True
BAT0097,G,electricite,2179.453119730185,500,True
BAT0097,G,gaz,3127.94258010118,500,True
BAT0098,F,electricite,1226.4201497504152,375,True
BAT0098,F,gaz,1844.3065391014968,375,True
BAT0099,F,electricite,5297.165361512792,375,True
BAT0099,F,gaz,7959.80787541713,375,True
BAT0100,E,electricite,1422.2647104677053,290,True
BAT0100,E,gaz,2025.9338195991083,290,True
BAT0101,G,electricite,1441.748089700996,500,True
BAT0101,G,gaz,2161.066627906976,500,True
BAT0102,C,electricite,649.4977121212113,145,True
BAT0102,C,gaz,971.841878787878,145,True
BAT0103,G,electricite,1447.7564598540139,500,True
BAT0103,G,gaz,2169.6100364963495,500,True
BAT0104,F,electricite,1858.0425486617999,375,True
BAT0104,F,gaz,2654.2261070559603,375,True
BAT0105,C,electricite,2809.6197336697496,145,True
BAT0105,C,gaz,4220.30317633866,145,True
BAT0106,G,electricite,1446.3785455974835,500,True
BAT0106,G,gaz,2159.1887657232696,500,True
BAT0107,F,electricite,1856.8287198391413,375,True
